city,population
Павлоградка,7154.0
Заокский,6709.0
Рыздвяный,7489.0
Жирновск,15872.0
Верхнеуральск,9312.0
Отказное,61183.0
Трехгорный,32355.0
Северо-Задонск,17249.0
Анастасиевская,10569.0
Тяжинский,10121.0
Струнино,13281.0
Абатское,17258.0
Новоаннинский,16444.0
Болотное,15629.0
Заринск,46597.0
Алтайское,63214.0
Нижнесортымский,12485.0
Нижние Вязовые,7944.0
Новодеревянковская,6795.0
Емельяново,58.0
Городище,322042.0
Отрадная,25344.0
Ельцовка,2896.0
Новомышастовская,10032.0
Мышкин,5738.0
Староуткинск,3068.0
Караидель,5980.0
Суровикино,18954.0
Красногвардейское,1301.0
Благодарный,31100.0
Суходол,13459.0
Белая Глина,16870.0
Приморско-Ахтарск,32048.0
Лысково,21293.0
Большой Луг,5366.0
Кинель-Черкассы,17252.0
Динская,34848.0
Ужур,15568.0
Волоконовка,10760.0
Приютово,19653.0
Топчиха,8906.0
Заветное,6633.0
Таштагол,23107.0
Ирбейское,15624.0
Поспелиха,11915.0
Старощербиновская,35686.0
Новый Оскол,18856.0
Березовка,9.0
Казанская,1243500.0
Починки,11891.0
Богородицк,31263.0
Зольская,11013.0
Суворов,17506.0
Усть-Донецкий,11256.0
Чертково,10662.0
Калтан,20947.0
Абдулино,19222.0
Нытва,18804.0
Бирск,46330.0
Цимлянск,14558.0
Межозерный,6976.0
Ува,20553.0
Сергач,20416.0
Качуг,6950.0
Перевоз,9127.0
Карабаш,11178.0
Ермекеево,3937.0
Киргиз-Мияки,25620.0
Заозерный,10286.0
Донской,63842.0
Большой Исток,7281.0
Горняк,12972.0
Верхний Мамон,8561.0
Костерево,8340.0
Большеречье,10427.0
Федоровский,1264075.0
Упорово,6417.0
Ясногорск,7076.0
Сокольское,78385.0
Яр,6486.0
Ливенка,27.0
Новотитаровская,24754.0
Кулешовка,13692.0
Красносельский,48474.0
Красноуральск,23142.0
Верхняя Хава,8154.0
Уяр,12074.0
Зимовники,18070.0
Ольховатка,3416.0
Тулун,41671.0
Горнозаводск,11477.0
Нижняя Тавда,6846.0
Судогда,10527.0
Эртиль,10410.0
Солдато-Александровское,9516.0
Увельский,10500.0
Тетюши,11337.0
Карпинск,26957.0
Черлак,10472.0
Аргаяш,41150.0
Григорополисская,10284.0
Муромцево,10350.0
Куйбышево,1169719.0
Песчанокопское,10593.0
Еткуль,6740.0
Прибрежный,115.0
Татарск,23956.0
Ребриха,8182.0
Дальнее Константиново,4133.0
Месягутово,38731.0
Яровое,18092.0
Колодезный,5736.0
Кизильское,6651.0
Чернь,78385.0
Константиновск,17317.0
Беляевка,12047.0
Зеленоградск,15493.0
Ивдель,16090.0
Бриньковская,5109.0
Краснозерское,9216.0
Иланский,15013.0
Крыловская,35604.0
Вольгинский,5876.0
Исилькуль,23151.0
Залари,9576.0
Шерегеш,10109.0
Куса,17368.0
Серафимович,8987.0
Палласовка,340000.0
Борисовка,78385.0
Короча,5888.0
Куйтун,9487.0
Кочубеевское,25679.0
Дубна,75144.0
Долгодеревенское,7700.0
Новопавловск,26238.0
Курсавка,11215.0
Куеда,10209.0
Хабары,5141.0
Коченево,16956.0
Средний Икорец,49.0
Рязанская,537622.0
Седельниково,1965.0
Еманжелинск,29077.0
Кизел,15572.0
Павловск,25047.0
Новый Рогачик,6992.0
Гаврилов-Ям,17351.0
Железногорск-Илимский,23643.0
Бавлы,22258.0
Кизнер,9805.0
Новая Усмань,19958.0
Сенной,1264075.0
Верхнерусское,24.0
Самарское,1169719.0
Александровск,748984.0
Мальчевская,3431.0
Линево,18468.0
Медногорск,25610.0
Краснознаменск,41769.0
Ермаковское,8557.0
Багаевская,15459.0
Уруссу,10570.0
Болохово,9093.0
Новичиха,4451.0
Балашейка,2786.0
Витязево,7936.0
Бородино,16249.0
Боготол,20245.0
Омутинское,18658.0
Новосмолинский,5587.0
Актюбинский,417471.0
Енисейск,17999.0
Курская,449063.0
Кез,10911.0
Гай,35255.0
Кунашак,29507.0
Богучар,11295.0
Ладожская,14828.0
Азово,433577.0
Таловая,11485.0
Голубицкая,5570.0
Талица,15874.0
Инской,12099.0
Ракитное,10504.0
Солнечнодольск,11707.0
Ордынское,9727.0
Завьялово,9243.0
Ермолаево,439.0
Холмская,27954.0
Тимирязевский,12506468.0
Большое Мурашкино,5080.0
Мамонтово,8652.0
Яйва,9996.0
Новоукраинское,5768.0
Двуреченск,4935.0
Челно-Вершины,6019.0
Тамань,10027.0
Агидель,15281.0
Котельниково,20381.0
Ильинский,1264075.0
Иловля,11418.0
Бодайбо,13104.0
Дивеево,6408.0
Знаменск,26934.0
Ковернино,6869.0
Кантемировка,11060.0
Саракташ,39735.0
Балтаси,8241.0
Исянгулово,7418.0
Ахтарский,32048.0
Пестравка,6500.0
Канеловская,4305.0
Алнаши,5964.0
Тарасовский,9017.0
Красная Яруга,8168.0
Сысерть,20962.0
Тайга,24183.0
Томаровка,7914.0
Барда,385.0
Фастовецкая,8573.0
Лаишево,8518.0
Алексеевское,53678.0
Бобров,20605.0
Залесово,7370.0
Шепси,429070.0
Исетское,7479.0
Актаныш,1115560.0
Терновка,5030.0
Вишневогорск,4219.0
Васюринская,13339.0
Туринск,17316.0
Миасское,151856.0
Ясный,15675.0
Малая Пурга,7768.0
Старовеличковская,13459.0
Елань,53.0
Богандинский,10348.0
Оханск,7072.0
Баймак,17529.0
Урожайное,421.0
Черепаново,19612.0
Борское,78385.0
Семилуки,26797.0
Камские Поляны,15399.0
Красноусольский,11991.0
Кротовка,1617.0
Большая Глушица,9667.0
Бердюжье,10836.0
Вейделевка,6431.0
Пономарёвка,1852.0
Курлово,6141.0
Светлый Яр,11749.0
Переволоцкий,26854.0
Косиха,16199.0
Пластуновская,143448.0
Ростовка,5518.0
Виноградный,3354.0
Малиновое Озеро,3090.0
Правдинск,4171.0
Васильково,78385.0
Бородинский,6071.0
Николаевск,18636.0
Каракулино,4724.0
Мегет,8918.0
Кузино,2854.0
Яя,10810.0
Шаранга,6692.0
Красная Поляна,4789.0
Новотроицкая,95139.0
Тацинская,9533.0
Петра Дубрава,6998.0
Бакал,19590.0
Новониколаевский,21118.0
Обильное,406933.0
Агрыз,19704.0
Каширское,4342.0
Митрофановка,1226.0
Винзили,12989.0
Верхние Киги,17235.0
Нежинка,1253.0
Крутинка,6878.0
Новосергиевка,13737.0
Старое Дрожжаное,3210.0
Яшкино,13884.0
Полесск,7041.0
Краснокаменск,52811.0
Шелаболиха,3780.0
Большое Козино,7237.0
Култаево,7562.0
Рыбная Слобода,7787.0
Варна,366762.0
Береславка,139.0
Уйское,15130.0
Ивановская,406933.0
Средняя Ахтуба,14477.0
Первомайское,4469.0
Ключи,4655.0
Октябрьск,113929.0
Шатки,8796.0
Большая Мартыновка,6158.0
Русская Поляна,32817.0
Новоаганск,9658.0
Бураево,9522.0
Аркадак,11986.0
Кривянская,10423.0
Верхотурье,8651.0
Ладушкин,4007.0
Стародеревянковская,12998.0
Белоярск,20142.0
Называевск,11249.0
Грибановский,15040.0
Кутулик,4870.0
Старомышастовская,10610.0
Краснощеково,4848.0
Тисуль,7801.0
Грамотеино,12408.0
Пролетарский,19290.0
Арья,43777.0
Змеиногорск,10575.0
Верхняя Салда,42733.0
Трудобеликовский,9393.0
Новая Игирма,9496.0
Приморск,606589.0
Новый Городок,30696.0
Уразово,6931.0
Грачевка,140.0
Кукмор,17700.0
Николо-Павловское,5042.0
Сюмси,12343.0
Агинское,17943.0
Кабардинка,7550.0
Усть-Уда,5144.0
Ивня,7403.0
Осиново,2240.0
Мамадыш,15699.0
